concept,definition,labels,subjects,sources
"Grafos isomorfos","Dos grafos son isomorfos si tienen la misma estructura, es decir, si se pueden reorganizar sus vértices y aristas de manera que ambos sean idénticos en su forma, aunque los nombres de los vértices y aristas puedan ser diferentes","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Grafos aplanables","Un grafo se considera aplanable si es posible dibujarlo en un plano sin que sus aristas se crucen","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Teorema de Kuratowski","El teorema de Kuratowski establece que un grafo es planar si y solo si no contiene a ninguno de los dos grafos prohibidos: el grafo completo de cinco vértices (K5) y el grafo bipartito completo de seis vértices (K3,3)","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"BOSQUE","Es un conjunto de árboles disjuntos, es decir, un conjunto de árboles que no tienen vértices en común","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Nodos Hoja","Son los vértices de un árbol que no tienen hijos, es decir, son vértices con grado 1","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Nodos rama","Son los vértices de un árbol que tienen al menos un hijo, es decir, son vértices con grado mayor que 1","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Arboles enraizados","Son árboles que tienen un nodo designado como la raíz y cada vértice tiene un padre, excepto el nodo raíz","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Arbol dirigido","Es un árbol donde las aristas tienen una dirección específica, es decir, hay un sentido desde el nodo padre hacia el nodo hijo","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Nodos padre","Son los vértices de un árbol dirigido que tienen aristas dirigidas hacia ellos","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Nodos Hijo","Son los vértices de un árbol dirigido que tienen aristas dirigidas desde ellos hacia otros vértices","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Nodos hermano","Son vértices que tienen el mismo padre en un árbol","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Nodos descendiente","Son todos los vértices alcanzables desde un nodo dado en un árbol dirigido, siguiendo las aristas dirigidas","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Nodos ascendete","Son los vértices que tienen una arista dirigida hacia un nodo dado en un árbol dirigido","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Subarbol","Es un árbol que se obtiene tomando un nodo y todos sus descendientes, junto con las aristas que los conectan","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Arbol ordenado","Es un árbol donde se asigna un orden lineal a los hijos de cada nodo","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Arbol ordenado isomorfo","Dos árboles ordenados son isomorfos si tienen la misma estructura de árbol, es decir, si se pueden reorganizar sus nodos de manera que ambos sean idénticos en su forma como árboles ordenados","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Altura de un arbol","Es la longitud del camino más largo desde la raíz hasta una hoja en el árbol. Es decir, el número máximo de aristas que se deben recorrer para llegar desde la raíz hasta un nodo hoja","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Codigo de prefijos","Es un tipo de representación de datos donde ninguna cadena es el prefijo de otra cadena. En el contexto de compresión de datos, los códigos de prefijos son utilizados para representar eficientemente secuencias de caracteres o símbolos con diferentes longitudes de bits","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Arboles de busqueda binaria","Son árboles binarios ordenados que cumplen con la propiedad de búsqueda binaria. En un árbol de búsqueda binaria, para cada nodo, todos los nodos en el subárbol izquierdo tienen valores menores que el nodo actual, y todos los nodos en el subárbol derecho tienen valores mayores","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Arboles generadores","Son árboles que pueden ser generados o construidos mediante algún algoritmo o procedimiento específico. Estos árboles pueden no ser únicos y pueden variar según el método utilizado para su generación","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Conjuntos de corte","En el contexto de grafos, un conjunto de corte es un conjunto de aristas cuya remoción desconecta el grafo en dos o más componentes conexos. Si se corta un vértice en lugar de una arista, también se puede denominar corte","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Arbol generador mínimo","Es un subárbol que conecta todos los vértices de un grafo no dirigido con el menor peso total posible. En otras palabras, es un árbol que cubre todos los vértices del grafo con la menor suma de pesos en sus aristas","Matemáticas Discretas, Grafos y Árboles","Matemáticas discretas","example.com"
"Computación","Se refiere al estudio y desarrollo de algoritmos, programas y sistemas informáticos, así como la teoría y los fundamentos de la información y la computación","Fundamentos de Programación, Arquitectura de Computadoras","Fundamentos Filosóficos de la computación ","example.com"
"Programación","Es el proceso de escribir, diseñar, codificar y mantener programas de computadora para realizar tareas específicas","Fundamentos de Programación, Programación Orientada a Objetos","Fundamentos Filosóficos de la computación ","example.com"
"Lenguaje de programación","Es un conjunto de reglas y sintaxis que permiten a los programadores comunicarse con una computadora y escribir programas para que la máquina los ejecute","Fundamentos de Programación, Programación Orientada a Objetos","Fundamentos Filosóficos de la computación ","example.com"
"Expresiones aritméticas","Son combinaciones de números, operadores aritméticos (suma, resta, multiplicación, división) y paréntesis que representan una operación aritmética","Algebra, Operaciones en Imágenes","Fundamentos Filosóficos de la computación ","example.com"
"Operadores aritméticos","Son símbolos matemáticos que representan operaciones como suma (+), resta (-), multiplicación (*), división (/), entre otros","Algebra","Fundamentos Filosóficos de la computación ","example.com"
"Prioridad de los operadores aritmeticos","Es el orden en el que se evalúan las operaciones en una expresión aritmética. Por ejemplo, la multiplicación y la división tienen una mayor prioridad que la suma y la resta","Algebra","Fundamentos Filosóficos de la computación ","example.com"
"Variables","Son espacios en la memoria donde se almacenan valores que pueden cambiar durante la ejecución de un programa","Fundamentos de Programación, Programación Orientada a Objetos","Fundamentos Filosóficos de la computación ","example.com"
"Tipos de datos","Representan los diferentes tipos de valores que pueden ser almacenados en una variable, como enteros, reales, cadenas, booleanos, etc","Tipos de Datos y Estructura de Datos, Programación Orientada a Objetos","Fundamentos Filosóficos de la computación ","example.com"
"datos enteros","Son valores numéricos sin parte decimal, como -3, 0, 42, etc","Tipos de Datos y Estructura de Datos","Fundamentos Filosóficos de la computación ","example.com"
"datos reales","Son valores numéricos que pueden tener parte decimal, como 3.14, -0.5, 2.718, etc","Tipos de Datos y Estructura de Datos","Fundamentos Filosóficos de la computación ","example.com"
"Cadenas","Son secuencias de caracteres, como Hola, mundo o OpenAI","Tipos de Datos y Estructura de Datos","Fundamentos Filosóficos de la computación ","example.com"
"datos lógicos","Representan valores de verdad y pueden ser verdadero (true) o falso (false)","Tipos de Datos y Estructura de Datos","Fundamentos Filosóficos de la computación ","example.com"
