concept,definition,labels,sources
Falacia,Argumento inválido o engañoso que parece ser correcto.,Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Dilema,Argumento que presenta dos opciones y concluye con una tercera opción que es una consecuencia de las primeras.,Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Predicado,Función que describe una propiedad o relación y puede ser verdadera o falsa dependiendo de los valores de sus variables.,Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Argumento,Serie de proposiciones donde una (la conclusión) se infiere de las otras (premisas).,Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Regla de cadena,"Regla de inferencia que dice que si A implica B y B implica C, entonces A implica C.",Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Equivalencia Lógica,Relación entre dos proposiciones que tienen el mismo valor de verdad en todas las circunstancias.,Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Tabla de Verdad,Tabla que muestra todos los posibles valores de verdad de una proposición compuesta en función de los valores de sus componentes.,Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Intersección de Conjuntos,Operación que produce un conjunto compuesto por los elementos que son comunes a dos o más conjuntos.,Lógica,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Unión de Conjuntos,Operación que produce un conjunto compuesto por todos los elementos que pertenecen al menos a uno de los conjuntos dados.,Lógica,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Diferencia de Conjuntos,Operación que produce un conjunto compuesto por los elementos que están en el primer conjunto pero no en el segundo.,Lógica,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Array o Arreglo,"Estructura de datos que almacena una colección de elementos, típicamente del mismo tipo, en posiciones contiguas de memoria.",Estructura de Datos,"[Joyanes L. (2006). Programación en C++. Algoritmos, Estructuras de Datos y Objetos. Mcgraw‐hill / Interamericana De España. (Recomendada por UDG)] "
Lista Enlazada,Colección de nodos que contienen un dato y una referencia al siguiente nodo en la lista.,Estructura de Datos,[Silvia Guardati Buemo (2007). Estructura de datos orientada a objetos: Algoritmos con C++. Pearson. (Recomendada por UDG)] 
Pila (Stack),"Estructura de datos lineal que sigue el principio Last In, First Out (LIFO).",Estructura de Datos,"[Weiss, M.A.: Data Structures and Algorithm Analysis in C++, 4th Edition, Pearson/Addison Wesley, 2013. (Recomendada por UDG)] "
Cola (Queue),"Estructura de datos lineal que sigue el principio First In, First Out (FIFO).",Estructura de Datos,"[Joyanes L. (2006). Programación en C++. Algoritmos, Estructuras de Datos y Objetos. Mcgraw‐hill / Interamericana De España. (Recomendada por UDG)] "
Cola de Prioridad,Tipo de cola donde los elementos se procesan según su prioridad y no en el orden en que fueron agregados.,Estructura de Datos,"[Weiss, M.A.: Data Structures and Algorithm Analysis in C++, 4th Edition, Pearson/Addison Wesley, 2013. (Recomendada por UDG)] "
Lista Doblemente Enlazada,"Variante de la lista enlazada en la que cada nodo tiene dos referencias, una al nodo anterior y otra al nodo siguiente.",Estructura de Datos,[Silvia Guardati Buemo (2007). Estructura de datos orientada a objetos: Algoritmos con C++. Pearson. (Recomendada por UDG)] 
Lista Circular,Tipo de lista enlazada en la que el último nodo está conectado de nuevo al primer nodo.,Estructura de Datos,"[Joyanes L. (2006). Programación en C++. Algoritmos, Estructuras de Datos y Objetos. Mcgraw‐hill / Interamericana De España. (Recomendada por UDG)] "
Vector,"Estructura de datos similar a un arreglo, pero cuyo tamaño puede cambiar dinámicamente durante la ejecución del programa.",Estructura de Datos,"[Weiss, M.A.: Data Structures and Algorithm Analysis in C++, 4th Edition, Pearson/Addison Wesley, 2013. (Recomendada por UDG)] "
Nodo,"Elemento básico utilizado en muchas estructuras de datos lineales, que contiene datos y una o más referencias a otros nodos.",Estructura de Datos,[Silvia Guardati Buemo (2007). Estructura de datos orientada a objetos: Algoritmos con C++. Pearson. (Recomendada por UDG)] 
Buffer,Región de memoria física o virtual utilizada para almacenar temporalmente datos mientras se están moviendo entre lugares.,Estructura de Datos,"[Joyanes L. (2006). Programación en C++. Algoritmos, Estructuras de Datos y Objetos. Mcgraw‐hill / Interamericana De España. (Recomendada por UDG)] "
Cadena (String),Secuencia de caracteres utilizada para representar texto.,Estructura de Datos,"[Joyanes L. (2006). Programación en C++. Algoritmos, Estructuras de Datos y Objetos. Mcgraw‐hill / Interamericana De España. (Recomendada por UDG)] "
Buffer Circular,"Estructura de datos utilizada cuando los datos se envían desde un productor a un consumidor, a menudo en el contexto de I/O.",Estructura de Datos,"[Weiss, M.A.: Data Structures and Algorithm Analysis in C++, 4th Edition, Pearson/Addison Wesley, 2013. (Recomendada por UDG)] "
Matriz,"Arreglo bidimensional de datos, típicamente con dos índices que representan filas y columnas.",Estructura de Datos,[Silvia Guardati Buemo (2007). Estructura de datos orientada a objetos: Algoritmos con C++. Pearson. (Recomendada por UDG)] 
Registro (Struct),"Agrupación de uno o más elementos de datos, posiblemente de diferentes tipos, bajo un solo nombre.",Estructura de Datos,"[Joyanes L. (2006). Programación en C++. Algoritmos, Estructuras de Datos y Objetos. Mcgraw‐hill / Interamericana De España. (Recomendada por UDG)] "
Lista Ligada Circular,"Variante de la lista enlazada en la que el último nodo apunta al primer nodo, formando un ciclo.",Estructura de Datos,[Silvia Guardati Buemo (2007). Estructura de datos orientada a objetos: Algoritmos con C++. Pearson. (Recomendada por UDG)] 
Deque (Cola de Dos Extremos),Estructura de datos lineal que permite inserciones y eliminaciones en ambos extremos.,Estructura de Datos,"[Weiss, M.A.: Data Structures and Algorithm Analysis in C++, 4th Edition, Pearson/Addison Wesley, 2013. (Recomendada por UDG)] "
Bitset,"Conjunto de bits, donde cada bit tiene un valor de 0 o 1, utilizado para representar conjuntos de elementos.",Estructura de Datos,"[Joyanes L. (2006). Programación en C++. Algoritmos, Estructuras de Datos y Objetos. Mcgraw‐hill / Interamericana De España. (Recomendada por UDG)] "
Cola Doble,Estructura similar a la cola pero permite operaciones en ambos extremos.,Estructura de Datos,"[Weiss, M.A.: Data Structures and Algorithm Analysis in C++, 4th Edition, Pearson/Addison Wesley, 2013. (Recomendada por UDG)] "
Union Find,Estructura de datos que permite realizar operaciones de unión y búsqueda en conjuntos disjuntos.,Estructura de Datos,[Silvia Guardati Buemo (2007). Estructura de datos orientada a objetos: Algoritmos con C++. Pearson. (Recomendada por UDG)] 
Lista Autoajustable,"Lista enlazada que se reorganiza a sí misma basada en las operaciones de acceso realizadas, para mejorar el rendimiento.",Estructura de Datos,"[Joyanes L. (2006). Programación en C++. Algoritmos, Estructuras de Datos y Objetos. Mcgraw‐hill / Interamericana De España. (Recomendada por UDG)] "
Árbol,Estructura de datos que simula una jerarquía de nodos en una estructura tipo padre hijo.,Estructura de Datos,"[Joyanes L. (2006). Programación en C++. Algoritmos, Estructuras de Datos y Objetos. Mcgraw‐hill / Interamericana De España. (Recomendada por UDG)] "
Árbol Binario,"Tipo de árbol en el que cada nodo tiene como máximo dos hijos, comúnmente denominados izquierdo y derecho.",Estructura de Datos,"[Weiss, M.A.: Data Structures and Algorithm Analysis in C++, 4th Edition, Pearson/Addison Wesley, 2013. (Recomendada por UDG)] "
Árbol AVL,Árbol binario de búsqueda auto balanceado donde la diferencia de alturas entre subárboles hijos de cualquier nodo es ≤ 1.,Estructura de Datos,[Silvia Guardati Buemo (2007). Estructura de datos orientada a objetos: Algoritmos con C++. Pearson. (Recomendada por UDG)] 
Árbol de Segmento,"Estructura de datos para almacenar información sobre segmentos de línea, y permite responder a consultas de rango.",Estructura de Datos,"[Joyanes L. (2006). Programación en C++. Algoritmos, Estructuras de Datos y Objetos. Mcgraw‐hill / Interamericana De España. (Recomendada por UDG)] "
Árbol B,Árbol de búsqueda equilibrado en el que cada nodo tiene un número variable pero a menudo grande de hijos.,Estructura de Datos,"[Weiss, M.A.: Data Structures and Algorithm Analysis in C++, 4th Edition, Pearson/Addison Wesley, 2013. (Recomendada por UDG)] "
Árbol de Expresión,"Árbol binario que representa una expresión matemática. Cada nodo interno representa un operador y los nodos hoja, operandos.",Estructura de Datos,[Silvia Guardati Buemo (2007). Estructura de datos orientada a objetos: Algoritmos con C++. Pearson. (Recomendada por UDG)] 
Árbol Trie,Estructura de árbol ordenado que se utiliza para almacenar un conjunto dinámico donde las claves son cadenas.,Estructura de Datos,"[Joyanes L. (2006). Programación en C++. Algoritmos, Estructuras de Datos y Objetos. Mcgraw‐hill / Interamericana De España. (Recomendada por UDG)] "
Árbol de Sufijos,Árbol que presenta todos los sufijos de una cadena de entrada.,Estructura de Datos,"[Weiss, M.A.: Data Structures and Algorithm Analysis in C++, 4th Edition, Pearson/Addison Wesley, 2013. (Recomendada por UDG)] "
Heap (Montículo),Estructura de datos especializada en el acceso rápido al elemento más grande (heap máximo) o más pequeño (heap mínimo).,Estructura de Datos,[Silvia Guardati Buemo (2007). Estructura de datos orientada a objetos: Algoritmos con C++. Pearson. (Recomendada por UDG)] 
Árbol Rojo Negro,"Tipo de árbol binario de búsqueda balanceado en el que cada nodo tiene un color, que puede ser rojo o negro.",Estructura de Datos,"[Joyanes L. (2006). Programación en C++. Algoritmos, Estructuras de Datos y Objetos. Mcgraw‐hill / Interamericana De España. (Recomendada por UDG)] "
Raíz,"Nodo en la parte superior de un árbol, desde el cual se derivan otros nodos. No tiene nodos padres.",Estructura de Datos,"[Weiss, M.A.: Data Structures and Algorithm Analysis in C++, 4th Edition, Pearson/Addison Wesley, 2013. (Recomendada por UDG)] "
Hijo,Nodo que es referenciado por otro nodo en un árbol.,Estructura de Datos,[Silvia Guardati Buemo (2007). Estructura de datos orientada a objetos: Algoritmos con C++. Pearson. (Recomendada por UDG)] 
Padre,Nodo que referencia a otro nodo en un árbol.,Estructura de Datos,"[Joyanes L. (2006). Programación en C++. Algoritmos, Estructuras de Datos y Objetos. Mcgraw‐hill / Interamericana De España. (Recomendada por UDG)] "
Hoja (Nodo terminal),Nodo en un árbol que no tiene hijos.,Estructura de Datos,"[Weiss, M.A.: Data Structures and Algorithm Analysis in C++, 4th Edition, Pearson/Addison Wesley, 2013. (Recomendada por UDG)] "
Profundidad,Nivel o distancia de un nodo desde la raíz en un árbol.,Estructura de Datos,[Silvia Guardati Buemo (2007). Estructura de datos orientada a objetos: Algoritmos con C++. Pearson. (Recomendada por UDG)] 
Altura,Longitud del camino más largo desde un nodo hasta una hoja.,Estructura de Datos,"[Joyanes L. (2006). Programación en C++. Algoritmos, Estructuras de Datos y Objetos. Mcgraw‐hill / Interamericana De España. (Recomendada por UDG)] "
Subárbol,Conjunto de nodos y aristas compuesto por un nodo y todos sus descendientes en un árbol.,Estructura de Datos,"[Weiss, M.A.: Data Structures and Algorithm Analysis in C++, 4th Edition, Pearson/Addison Wesley, 2013. (Recomendada por UDG)] "
Grado,Número de hijos de un nodo.,Estructura de Datos,[Silvia Guardati Buemo (2007). Estructura de datos orientada a objetos: Algoritmos con C++. Pearson. (Recomendada por UDG)] 
Camino,Secuencia de nodos y aristas entre un nodo y otro en un árbol.,Estructura de Datos,"[Joyanes L. (2006). Programación en C++. Algoritmos, Estructuras de Datos y Objetos. Mcgraw‐hill / Interamericana De España. (Recomendada por UDG)] "
Unidad Central de Procesamiento (CPU),Corazón de la computadora que ejecuta las instrucciones de un programa.,Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Unidad de Control,Componente de la CPU que dirige el flujo de datos entre la CPU y otros componentes.,Componentes Básicos y Microarquitectura,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Unidad Aritmético Lógica (ALU),Realiza operaciones aritméticas y lógicas.,Componentes Básicos y Microarquitectura,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Registro,Pequeña cantidad de almacenamiento rápido en la CPU utilizado para almacenamiento temporal de datos e instrucciones.,Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Pipeline,Técnica de diseño que permite la ejecución de varias instrucciones en diferentes etapas de procesamiento al mismo tiempo.,Componentes Básicos y Microarquitectura,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Caché,Memoria de acceso rápido que almacena copias temporales de datos de uso frecuente para acelerar el acceso.,Componentes Básicos y Microarquitectura,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Set de Instrucciones (ISA),Conjunto de instrucciones que una CPU es capaz de ejecutar.,Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Controlador de Interrupciones,Gestiona las interrupciones para que la CPU pueda responder a eventos externos sin comprometer la ejecución de programas.,Componentes Básicos y Microarquitectura,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Reloj de Sistema,Genera pulsos eléctricos a intervalos regulares que sincronizan las operaciones de la computadora.,Componentes Básicos y Microarquitectura,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Microcódigo,"Representación a bajo nivel de cómo una CPU debería funcionar, usado en algunas arquitecturas para implementar partes del ISA en hardware.",Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Bus,Conjunto de líneas de comunicación que transportan datos y señales entre componentes del sistema.,Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Multiplexación,Técnica que permite que múltiples señales compartan un medio de transmisión.,Componentes Básicos y Microarquitectura,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Decodificador,Dispositivo que convierte una entrada binaria en una salida de un solo bit activo.,Componentes Básicos y Microarquitectura,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Arquitectura de Harvard,Modelo de arquitectura que separa el almacenamiento y los buses de datos y de instrucciones.,Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Arquitectura de Von Neumann,Modelo donde la memoria de datos y la memoria de instrucciones están combinadas en una única memoria.,Componentes Básicos y Microarquitectura,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Predicción de Saltos,Técnica usada en la microarquitectura para predecir el resultado de un salto condicional antes de que se complete la instrucción.,Componentes Básicos y Microarquitectura,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
RISC,Conjunto de instrucciones reducido para mejorar la eficiencia de la CPU.,Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
CISC,Conjunto de instrucciones complejo que busca reducir el número de instrucciones por programa.,Componentes Básicos y Microarquitectura,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Paralelismo a nivel de instrucción,Técnica que busca aumentar la tasa de ejecución de instrucciones al ejecutar varias instrucciones en paralelo.,Componentes Básicos y Microarquitectura,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Memoria Virtual,"Técnica que permite a una aplicación usar más memoria que la físicamente disponible, utilizando el almacenamiento secundario.",Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Paginación,Técnica de memoria virtual que divide la memoria física en bloques fijos y la memoria virtual en páginas de tamaño correspondiente.,Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Segmentación,"Divide la memoria en segmentos basados en la naturaleza de las instrucciones y los datos, permitiendo un acceso más intuitivo.",Componentes Básicos y Microarquitectura,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
